Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 704,0.000011,0.000007,0.000248,0.010024,0.020995,0.585478,0.331072,0.019636,0.03253
Cell 705,0.040295,0.477455,0.399987,0.079981,0.002283,0,0,0,0
Cell 706,0.000985,0.154992,0.488691,0.283096,0.069874,0.002359,0.000004,0,0
Cell 707,0,0,0,0.000217,0.00277,0.085931,0.551245,0.299909,0.059927
Cell 708,0,0,0.000001,0.000316,0.005205,0.186784,0.693435,0.094014,0.020245
Cell 709,0,0,0.000003,0.000795,0.005594,0.086378,0.517597,0.309326,0.080306
Cell 710,0,0.000059,0.007503,0.344342,0.648097,0,0,0,0
Cell 711,0.000001,0.001426,0.051645,0.187609,0.43644,0.29696,0.025817,0.000103,0
Cell 712,0.002165,0.172066,0.438091,0.306012,0.075441,0.006134,0.000091,0,0
Cell 713,0.000256,0.067918,0.47037,0.327014,0.129083,0.005321,0.000037,0,0
Cell 714,0,0,0.000005,0.001088,0.008018,0.150529,0.672873,0.138426,0.029061
Cell 715,0,0,0.000005,0.000916,0.007753,0.144347,0.565434,0.219527,0.062018
Cell 716,0,0.000009,0.000673,0.011634,0.026546,0.86149,0.095638,0.000946,0.003064
Cell 717,0.002842,0.11077,0.438733,0.280715,0.153374,0.013364,0.000202,0,0
Cell 718,0.000858,0.177219,0.510117,0.257777,0.053128,0.000901,0.000001,0,0
Cell 719,0,0,0.000002,0.00082,0.005184,0.112484,0.567689,0.249627,0.064194
Cell 720,0,0.000035,0.00377,0.058935,0.202636,0.436807,0.263635,0.034158,0.000024
Cell 721,0,0,0.000007,0.001025,0.008399,0.117434,0.57135,0.228719,0.073064
Cell 722,0.001554,0.280428,0.486481,0.194606,0.036453,0.000477,0.000001,0,0
Cell 723,0,0,0.000024,0.002484,0.016326,0.166525,0.560555,0.218967,0.035119
Cell 724,0.011198,0.263435,0.433627,0.222057,0.06677,0.00288,0.000034,0,0
Cell 725,0.033649,0.277926,0.429389,0.176553,0.076462,0.005985,0.000036,0,0
Cell 726,0.001408,0.137251,0.479942,0.284257,0.093082,0.004035,0.000024,0,0
Cell 727,0,0,0.000002,0.001069,0.013317,0.137695,0.42718,0.298391,0.122346
Cell 728,0,0,0.000021,0.002241,0.013525,0.312675,0.532648,0.086703,0.052187
Cell 729,0,0,0.000001,0.000621,0.007541,0.348048,0.562423,0.056304,0.025061
Cell 730,0,0,0.00005,0.005956,0.017851,0.367293,0.506184,0.076603,0.026063
Cell 731,0.01701,0.404825,0.419656,0.13654,0.021648,0.000321,0,0,0
Cell 732,0,0.000125,0.009791,0.118093,0.278742,0.333184,0.243155,0.01688,0.00003
Cell 733,0,0,0,0.000253,0.002833,0.037945,0.310767,0.461682,0.186519
Cell 734,0.000545,0.05837,0.39841,0.393894,0.148615,0.000166,0,0,0
Cell 735,0,0.000054,0.011859,0.350667,0.537957,0.099463,0,0,0
Cell 736,0,0,0.000001,0.00039,0.006013,0.074355,0.389466,0.396125,0.133651
Cell 737,0.004546,0.317659,0.545802,0.127854,0.004138,0,0,0,0
Cell 738,0,0,0.000001,0.000351,0.002671,0.06404,0.496283,0.347833,0.088821
Cell 739,0,0,0.000029,0.003486,0.016349,0.237597,0.650591,0.072918,0.019029
Cell 740,0,0,0.000191,0.124025,0.830634,0.045149,0,0,0
Cell 741,0,0.000031,0.003153,0.378827,0.617988,0,0,0,0
Cell 742,0,0,0.000225,0.011629,0.077913,0.262771,0.439873,0.194405,0.013183
Cell 743,0,0,0,0.000091,0.00162,0.037897,0.395187,0.440639,0.124565
Cell 744,0.071397,0.514982,0.381925,0.030664,0.001032,0,0,0,0
Cell 745,0,0,0.000002,0.001396,0.011378,0.190898,0.452292,0.217817,0.126217
Cell 746,0,0,0.000031,0.003366,0.031401,0.19664,0.454398,0.244178,0.069985
Cell 747,0.026555,0.494487,0.411054,0.06548,0.002424,0,0,0,0
Cell 748,0.00144,0.257688,0.50162,0.210858,0.028173,0.000221,0,0,0
Cell 749,0,0.000001,0.000206,0.013823,0.051647,0.346584,0.461029,0.083437,0.043273
Cell 750,0.000041,0.017449,0.259681,0.397695,0.308947,0.015945,0.000243,0,0
Cell 751,0,0.000482,0.021586,0.172554,0.361381,0.29034,0.143853,0.009788,0.000015
Cell 752,0,0.00004,0.004327,0.088956,0.206295,0.276817,0.29388,0.11429,0.015394
Cell 753,0,0,0.000001,0.000646,0.011623,0.114401,0.387859,0.346896,0.138575
Cell 754,0.000008,0.00736,0.119429,0.353078,0.3394,0.169104,0.011602,0.000019,0
Cell 755,0,0.000001,0.000101,0.008133,0.04923,0.211819,0.419621,0.236435,0.07466
Cell 756,0,0,0.000002,0.000485,0.007122,0.082371,0.386623,0.37722,0.146177
Cell 757,0,0,0.000004,0.000751,0.005112,0.073373,0.448426,0.375563,0.096772
Cell 758,0.003884,0.333937,0.46189,0.180636,0.019498,0.000154,0,0,0
Cell 759,0,0,0,0.000179,0.002833,0.055666,0.5228,0.299723,0.118799
Cell 760,0.000001,0.000004,0.000043,0.010711,0.033093,0.348645,0.455596,0.04151,0.110398
Cell 761,0,0.000004,0.000696,0.019113,0.127068,0.745855,0.103578,0.002366,0.00132
Cell 762,0,0.000001,0.000309,0.014194,0.086711,0.245093,0.413939,0.228826,0.010926
Cell 763,0,0.000065,0.003827,0.055921,0.196886,0.436291,0.27607,0.030852,0.000086
Cell 764,0.000056,0.042537,0.378072,0.456695,0.12264,0,0,0,0
Cell 765,0.035848,0.393007,0.493892,0.07086,0.006393,0,0,0,0
Cell 766,0,0,0.000008,0.002796,0.014221,0.227171,0.475597,0.214392,0.065814
Cell 767,0,0,0.000002,0.000638,0.006222,0.077016,0.418924,0.425656,0.071542
Cell 768,0,0,0,0.000173,0.002212,0.047233,0.353911,0.468511,0.12796
Cell 769,0,0,0.000033,0.005412,0.030277,0.21396,0.473213,0.203804,0.073302
Cell 770,0,0,0,0.00016,0.002027,0.050099,0.459018,0.422531,0.066164
Cell 771,0,0,0.000017,0.002372,0.027103,0.399713,0.440424,0.074656,0.055714
Cell 772,0,0,0,0.00004,0.001017,0.04637,0.494631,0.38864,0.069303
Cell 773,0.013422,0.490794,0.45797,0.035946,0.001867,0,0,0,0
Cell 774,0,0,0,0.0001,0.002075,0.089257,0.566387,0.293414,0.048766
Cell 775,0,0.002239,0.103808,0.534695,0.349664,0.009595,0,0,0
Cell 776,0,0.000051,0.008045,0.112898,0.456589,0.204622,0.163598,0.054119,0.000076
Cell 777,0,0,0,0.000104,0.001656,0.055883,0.49168,0.380944,0.069733
Cell 778,0,0,0.000002,0.001041,0.009112,0.195276,0.686512,0.090665,0.017393
Cell 779,0.000068,0.021484,0.355379,0.477608,0.143206,0.002254,0,0,0
Cell 780,0.00004,0.018486,0.197807,0.379769,0.309445,0.093482,0.000971,0,0
Cell 781,0.000014,0.025616,0.233686,0.499942,0.228639,0.011898,0.000205,0,0
Cell 782,0,0.000015,0.003085,0.062313,0.255234,0.315611,0.225418,0.138094,0.00023
Cell 783,0,0.000128,0.014561,0.448922,0.460133,0.076257,0,0,0
Cell 784,0,0.001032,0.029109,0.184653,0.365658,0.304001,0.108894,0.006648,0.000003
Cell 785,0,0.000012,0.001064,0.046987,0.065832,0.427046,0.368494,0.069151,0.021415
Cell 786,0,0,0.00001,0.002082,0.017989,0.16269,0.47029,0.234182,0.112757
Cell 787,0.00018,0.031263,0.216735,0.354489,0.317328,0.079206,0.000799,0,0
Cell 788,0,0,0.000005,0.001743,0.020269,0.293738,0.431972,0.149846,0.102426
Cell 789,0,0,0.001791,0.320798,0.582857,0.094554,0,0,0
Cell 790,0,0,0.000005,0.001425,0.016917,0.275116,0.511018,0.14073,0.054788
Cell 791,0.000001,0.038713,0.483901,0.283554,0.193831,0,0,0,0
Cell 792,0,0.000602,0.024337,0.317409,0.657653,0,0,0,0
Cell 793,0,0,0.000012,0.001826,0.010423,0.192866,0.555145,0.162629,0.077098
Cell 794,0.001922,0.28532,0.551427,0.156726,0.004605,0,0,0,0
Cell 795,0.000003,0.006078,0.111187,0.260375,0.447812,0.163222,0.011307,0.000015,0
Cell 796,0,0,0.00001,0.004355,0.024772,0.323941,0.475068,0.1175,0.054354
Cell 797,0,0,0,0.000221,0.002583,0.110181,0.616355,0.209638,0.061023
Cell 798,0,0,0.000025,0.003439,0.033997,0.517038,0.399377,0.021589,0.024534
Cell 799,0,0.000054,0.019882,0.340847,0.63655,0.002667,0,0,0
Cell 800,0,0.000001,0.000364,0.020557,0.035081,0.285989,0.413158,0.168734,0.076116
Cell 801,0.020851,0.401233,0.502293,0.073105,0.002518,0,0,0,0
Cell 802,0.000051,0.028241,0.287279,0.376439,0.261176,0.046426,0.000388,0,0
Cell 803,0.000067,0.06447,0.446213,0.357498,0.128757,0.002968,0.000026,0,0
Cell 804,0,0,0,0.000067,0.001284,0.035936,0.399912,0.481506,0.081296
Cell 805,0.001092,0.074271,0.303484,0.325825,0.23142,0.063035,0.000871,0,0
Cell 806,0,0,0.000004,0.001528,0.015023,0.128593,0.383267,0.346997,0.124588
Cell 807,0,0,0.000051,0.006044,0.03596,0.244571,0.501558,0.149166,0.06265
Cell 808,0,0,0.000001,0.000339,0.003881,0.073427,0.53547,0.333842,0.05304
Cell 809,0.002317,0,0.022161,0.246336,0.729185,0,0,0,0
Cell 810,0.219667,0.544519,0.221361,0.014041,0.000414,0,0,0,0
Cell 811,0.109671,0.420542,0.405006,0.058483,0.006298,0,0,0,0
Cell 812,0,0,0,0.000115,0.002061,0.046969,0.485373,0.398768,0.066713
Cell 813,0.950355,0.048671,0.000879,0.000062,0.000033,0,0,0,0
Cell 814,0.000075,0.092651,0.467539,0.34927,0.087719,0.002739,0.000007,0,0
Cell 815,0.000174,0.117305,0.421367,0.323144,0.130269,0.007583,0.000157,0,0
Cell 816,0,0.000024,0.00318,0.065362,0.230514,0.311947,0.305643,0.083267,0.000063
Cell 817,0.00122,0.124567,0.414329,0.327038,0.121756,0.011074,0.000015,0,0
Cell 818,0,0.000518,0.020993,0.172184,0.296894,0.394484,0.11101,0.003905,0.000012
Cell 819,0.007522,0.260772,0.507559,0.189431,0.03344,0.001276,0.000001,0,0
Cell 820,0.172123,0.491496,0.273159,0.051715,0.011067,0.000438,0.000002,0,0
Cell 821,0,0.000128,0.012304,0.356401,0.567269,0.063898,0,0,0
Cell 822,0,0,0.000001,0.000365,0.004988,0.076327,0.444133,0.414935,0.05925
Cell 823,0,0,0.001213,0.339156,0.580493,0.079139,0,0,0
Cell 824,0.237897,0.586967,0.169181,0.005815,0.00014,0,0,0,0
Cell 825,0,0.000004,0.001237,0.269366,0.705306,0.024087,0,0,0
Cell 826,0.092359,0.56384,0.321275,0.022032,0.000495,0,0,0,0
Cell 827,0,0,0,0.000087,0.00165,0.081653,0.632884,0.221153,0.062574
Cell 828,0.000185,0.055471,0.357865,0.387032,0.183916,0.015374,0.000158,0,0
Cell 829,0,0.018615,0.43444,0.348657,0.195996,0.002288,0.000004,0,0
Cell 830,0.000005,0.003016,0.043779,0.27146,0.340841,0.27019,0.068241,0.002031,0.000438
Cell 831,0.004845,0.27982,0.56855,0.141891,0.004894,0,0,0,0
Cell 832,0,0,0,0.000167,0.002567,0.093447,0.626454,0.232744,0.04462
Cell 833,0,0,0,0.00024,0.002098,0.091698,0.539442,0.283015,0.083507
Cell 834,0,0,0.00002,0.003134,0.018633,0.150102,0.414353,0.300375,0.113385
Cell 835,0.019453,0.377597,0.444083,0.138832,0.019369,0.000666,0.000002,0,0
Cell 836,0.000005,0.000843,0.090719,0.497705,0.391345,0.019383,0,0,0
Cell 837,0.014367,0.316798,0.641843,0.026437,0.000556,0,0,0,0
Cell 838,0.010076,0.47339,0.456462,0.057342,0.00273,0,0,0,0
Cell 839,0,0.000057,0.004888,0.08063,0.211983,0.419712,0.261253,0.021442,0.000035
Cell 840,0,0,0.000026,0.00232,0.021136,0.377045,0.536618,0.044974,0.01788
Cell 841,0,0.002886,0.0964,0.321723,0.491681,0.079268,0.007914,0.000128,0
Cell 842,0,0,0,0.000051,0.000941,0.04072,0.487102,0.417576,0.05361
Cell 843,0.008629,0.227227,0.58391,0.168903,0.011317,0.000014,0,0,0
Cell 844,0.001757,0.292954,0.498734,0.182911,0.02318,0.000462,0,0,0
Cell 845,0,0.000048,0.010761,0.370419,0.61093,0.007842,0,0,0
Cell 846,0,0.000213,0.024354,0.312887,0.652798,0.009748,0,0,0
Cell 847,0.000551,0.089219,0.473381,0.413532,0.023311,0.000006,0,0,0
Cell 848,0.000002,0.003939,0.082658,0.344428,0.441067,0.100255,0.027291,0.000343,0.000017
Cell 849,0,0,0,0.000051,0.000923,0.015703,0.151017,0.669477,0.162828
Cell 850,0,0,0,0.000144,0.001885,0.052471,0.461551,0.408982,0.074968
Cell 851,0,0,0.000111,0.008218,0.057802,0.340108,0.42636,0.146387,0.021014
Cell 852,0,0,0.000001,0.000905,0.010131,0.216316,0.5215,0.156308,0.094838
Cell 853,0,0.000068,0.005257,0.079429,0.238509,0.311473,0.2645,0.100727,0.000037
Cell 854,0.000002,0.012164,0.357463,0.360342,0.27003,0,0,0,0
Cell 855,0.000078,0.054216,0.477532,0.368594,0.09958,0,0,0,0
Cell 856,0,0,0.000001,0.000395,0.005317,0.057264,0.26245,0.569823,0.104751
Cell 857,0,0,0.000009,0.003278,0.026245,0.380859,0.480136,0.075038,0.034434
Cell 858,0,0.00482,0.112962,0.400697,0.434099,0.044274,0.003145,0.000003,0
Cell 859,0.000012,0.008833,0.117864,0.340474,0.355734,0.170431,0.00664,0.000014,0
Cell 860,0,0.000022,0.003785,0.062262,0.122519,0.271245,0.256994,0.272516,0.010659
Cell 861,0,0,0.000003,0.000888,0.008265,0.057905,0.21348,0.496723,0.222736
Cell 862,0,0.000001,0.000468,0.250364,0.607875,0.141293,0,0,0
Cell 863,0.002267,0.138577,0.611112,0.225604,0.022401,0.000041,0,0,0
Cell 864,0,0.002101,0.072902,0.274237,0.519604,0.115426,0.015351,0.000378,0.000001
Cell 865,0.000325,0.140605,0.454371,0.3145,0.086319,0.003849,0.000031,0,0
Cell 866,0,0,0.000032,0.004013,0.027497,0.108936,0.21202,0.452518,0.194984
Cell 867,0.00021,0.087631,0.465308,0.392477,0.051376,0.002966,0.000032,0,0
Cell 868,0,0.000003,0.000348,0.016369,0.055126,0.259285,0.407824,0.19716,0.063885
Cell 869,0,0,0.000004,0.000278,0.004682,0.116462,0.535484,0.252378,0.090712
Cell 870,0.015232,0.389942,0.470212,0.121378,0.003235,0,0,0,0
Cell 871,0.000001,0.036216,0.414545,0.371543,0.175095,0.002575,0.000025,0,0
Cell 872,0,0,0,0.000122,0.001574,0.058428,0.530445,0.337481,0.07195
Cell 873,0,0,0.000019,0.001904,0.009338,0.120286,0.529515,0.26863,0.070308
Cell 874,0,0,0.000006,0.001652,0.011399,0.115483,0.358472,0.384481,0.128506
Cell 875,0.004619,0.308723,0.524933,0.155097,0.006627,0.000001,0,0,0
Cell 876,0.002637,0.257753,0.576103,0.155293,0.008214,0,0,0,0
Cell 877,0,0.000006,0.000409,0.015831,0.069961,0.428005,0.409667,0.052892,0.02323
Cell 878,0,0.002347,0.078948,0.306147,0.47001,0.12748,0.014792,0.000275,0
Cell 879,0,0.001067,0.038046,0.250317,0.388772,0.259707,0.060457,0.001633,0.000001
Cell 880,0.000001,0.004188,0.085387,0.363094,0.43228,0.099578,0.015408,0.00006,0.000004
Cell 881,0,0.000252,0.019248,0.156083,0.529357,0.239456,0.052783,0.002813,0.000006
Cell 882,0,0,0.000044,0.003064,0.021494,0.267208,0.606785,0.079231,0.022174
Cell 883,0,0.001118,0.045683,0.251775,0.152138,0.420167,0.117845,0.008752,0.002522
Cell 884,0,0,0,0.000047,0.00098,0.021415,0.235779,0.62727,0.114508
Cell 885,0,0,0.000008,0.001578,0.009723,0.207986,0.658991,0.080667,0.041048
Cell 886,0,0.000004,0.001414,0.205804,0.538647,0.254131,0,0,0
Cell 887,0,0,0.000021,0.002505,0.019394,0.13365,0.314394,0.454328,0.075709
Cell 888,0,0.001563,0.059944,0.289483,0.497349,0.135461,0.015832,0.000367,0
Cell 889,0,0.000036,0.003215,0.052217,0.220006,0.333419,0.312942,0.07488,0.003284
Cell 890,0,0.000456,0.025859,0.426322,0.484878,0.062485,0,0,0
Cell 891,0,0,0.000028,0.002503,0.010822,0.121062,0.52661,0.269259,0.069716
Cell 892,0.005768,0.354095,0.486956,0.137327,0.015477,0.000373,0.000003,0,0
Cell 893,0,0.00012,0.016452,0.359239,0.563477,0.060712,0,0,0
Cell 894,0,0,0,0.00014,0.001445,0.057391,0.479958,0.390979,0.070087
Cell 895,0.000213,0.029773,0.207706,0.304857,0.322095,0.130912,0.004441,0.000002,0
Cell 896,0,0.000009,0.001227,0.045159,0.15296,0.39858,0.330235,0.071831,0
Cell 897,0.031461,0.394897,0.429069,0.110305,0.033377,0.00089,0.000002,0,0
Cell 898,0,0.00002,0.004501,0.063411,0.309822,0.291998,0.24642,0.083738,0.00009
Cell 899,0,0,0.000042,0.006146,0.034203,0.276324,0.460331,0.166518,0.056436
Cell 900,0,0.000112,0.004997,0.086009,0.240428,0.410072,0.234252,0.020803,0.003329
Cell 901,0,0,0.000001,0.000351,0.002967,0.074493,0.513725,0.339151,0.069312
Cell 902,0,0.000019,0.000848,0.029876,0.053369,0.239071,0.506609,0.103168,0.06704
Cell 903,0.000061,0.015456,0.21315,0.539616,0.230334,0.001384,0,0,0
Cell 904,0.055387,0.521758,0.37144,0.050024,0.00139,0,0,0,0
Cell 905,0,0.000001,0.000147,0.00816,0.04913,0.179975,0.326799,0.353028,0.08276
Cell 906,0.000001,0.00021,0.01287,0.120299,0.102361,0.344975,0.299944,0.079247,0.040094
Cell 907,0.000008,0.000793,0.007292,0.047452,0.136405,0.696541,0.106315,0.002514,0.00268
Cell 908,0.255619,0.55792,0.178266,0.008022,0.000172,0,0,0,0
Cell 909,0,0.000001,0.000314,0.018912,0.085941,0.283326,0.433262,0.159624,0.018621
Cell 910,0.004447,0.367426,0.514121,0.09991,0.014095,0,0,0,0
Cell 911,0,0.000697,0.040126,0.410431,0.548745,0,0,0,0
Cell 912,0,0.000015,0.002027,0.044581,0.22616,0.272422,0.241826,0.200393,0.012574
Cell 913,0,0,0,0.000093,0.001229,0.031686,0.36778,0.50817,0.091042
Cell 914,0,0.000349,0.031316,0.21397,0.568543,0.155787,0.028814,0.001207,0.000015
Cell 915,0,0.000033,0.006611,0.08201,0.349696,0.293753,0.225713,0.042144,0.00004
Cell 916,0.000001,0.000381,0.012971,0.169538,0.358258,0.332964,0.119992,0.005439,0.000457
Cell 917,0.000001,0.000481,0.018853,0.377677,0.602988,0,0,0,0
Cell 918,0,0.000057,0.010931,0.409926,0.573672,0.005414,0,0,0
Cell 919,0,0.003744,0.094219,0.329344,0.458488,0.096893,0.01698,0.000326,0.000005
Cell 920,0.000616,0.172839,0.510596,0.276501,0.038891,0.000556,0.000001,0,0
Cell 921,0.006657,0.353188,0.466096,0.152828,0.02041,0.00082,0.000001,0,0
Cell 922,0.000006,0.003484,0.056421,0.293083,0.376913,0.237918,0.031653,0.000502,0.000021
Cell 923,0,0,0,0.00002,0.000534,0.018948,0.222643,0.580638,0.177218
Cell 924,0.000049,0.018975,0.24395,0.454952,0.251349,0.03052,0.000205,0,0
Cell 925,0,0.001869,0.112579,0.521839,0.362895,0.000818,0,0,0
Cell 926,0,0.000195,0.018312,0.106933,0.601202,0.190095,0.04892,0.034296,0.000046
Cell 927,0.000015,0.047812,0.649299,0.149296,0.153578,0,0,0,0
Cell 928,0,0,0.000052,0.006017,0.039141,0.222894,0.494686,0.155576,0.081634
Cell 929,0,0.000805,0.026913,0.230086,0.380477,0.22657,0.123057,0.012075,0.000016
Cell 930,0.000003,0.008949,0.012437,0.974964,0.003647,0,0,0,0
Cell 931,0,0.000011,0.000942,0.030368,0.108183,0.287434,0.34554,0.195523,0.031999
Cell 932,0,0.000001,0.000198,0.011467,0.090738,0.233218,0.367997,0.208251,0.088131
Cell 933,0,0.000061,0.007212,0.297969,0.694759,0,0,0,0
Cell 934,0,0,0,0.000169,0.002285,0.050055,0.531231,0.368721,0.04754
Cell 935,0,0.000701,0.030212,0.184475,0.386745,0.260838,0.100618,0.036393,0.000017
Cell 936,0,0.000158,0.010409,0.09796,0.314399,0.337908,0.213558,0.025587,0.000019
Cell 937,0.999629,0.000026,0.000138,0.000146,0.000045,0.000016,0,0,0
Cell 938,0,0.000033,0.003106,0.070374,0.231213,0.366424,0.260297,0.06647,0.002083
Cell 939,0.01228,0.537141,0.408556,0.040511,0.001512,0,0,0,0
Cell 940,0.002274,0.174819,0.563057,0.230953,0.028743,0.000155,0,0,0
Cell 941,0.958448,0.040856,0.0006,0.000067,0.000028,0,0,0,0
Cell 942,0,0,0.000001,0.000526,0.004695,0.14786,0.624491,0.190804,0.031623
Cell 943,0.000001,0.000247,0.005806,0.052162,0.208758,0.60201,0.126897,0.002438,0.001681
Cell 944,0,0.000098,0.015403,0.382023,0.602476,0,0,0,0
Cell 945,0,0.000002,0.000858,0.151212,0.518799,0.329129,0,0,0
Cell 946,0,0.000049,0.002956,0.056169,0.180966,0.523872,0.220955,0.014548,0.000487
Cell 947,0,0.001046,0.04698,0.209213,0.287092,0.455669,0,0,0
Cell 948,0.005814,0.341497,0.502433,0.121894,0.028361,0,0,0,0
Cell 949,0.001631,0.181006,0.454097,0.271198,0.083918,0.008002,0.000148,0,0
Cell 950,0,0.000001,0.000074,0.008046,0.042178,0.37371,0.519937,0.039109,0.016945
Cell 951,0.028283,0.322893,0.557444,0.085536,0.005841,0.000003,0,0,0
Cell 952,0.000269,0.112392,0.582194,0.275017,0.030101,0.000027,0,0,0
Cell 953,0.083911,0.642919,0.261555,0.011399,0.000215,0,0,0,0
Cell 954,0.000082,0.0337,0.267527,0.418822,0.279868,0,0,0,0
Cell 955,0,0.000258,0.01939,0.432578,0.363602,0.184173,0,0,0
Cell 956,0,0,0.000007,0.001321,0.010568,0.095449,0.477624,0.351434,0.063597
Cell 957,0,0.000004,0.000599,0.025957,0.087914,0.31779,0.355931,0.190402,0.021403
Cell 958,0.003118,0.272495,0.585412,0.133216,0.005759,0,0,0,0
Cell 959,0,0.001623,0.085293,0.301695,0.505011,0.095509,0.010749,0.000119,0.000001
Cell 960,0.000057,0.041728,0.419758,0.430123,0.108319,0.000015,0,0,0
Cell 961,0,0.000007,0.000837,0.025171,0.124612,0.245554,0.262818,0.296659,0.044342
Cell 962,0.000007,0.01404,0.190662,0.450709,0.294016,0.048429,0.002133,0.000005,0
Cell 963,0,0.000528,0.02921,0.183228,0.515272,0.202175,0.062972,0.006603,0.000012
Cell 964,0.001103,0.259861,0.64549,0.07096,0.022586,0,0,0,0
Cell 965,0.000246,0.090301,0.456623,0.370937,0.077756,0.004127,0.000009,0,0
Cell 966,0,0.000001,0.000592,0.014801,0.138017,0.206223,0.232518,0.385,0.022848
Cell 967,0.000007,0.002635,0.058795,0.249935,0.405665,0.257078,0.025644,0.000242,0
Cell 968,0.011284,0.396652,0.483864,0.104589,0.003611,0,0,0,0
Cell 969,0,0.000045,0.005203,0.074707,0.312099,0.322736,0.231778,0.053298,0.000134
Cell 970,0,0.000005,0.001123,0.029556,0.131274,0.258606,0.312716,0.2647,0.00202
Cell 971,0,0.002032,0.056501,0.26751,0.261198,0.267091,0.127251,0.018407,0.00001
Cell 972,0,0.002526,0.091563,0.342433,0.478339,0.079355,0.005749,0.000035,0
Cell 973,0.000001,0.001202,0.042361,0.433471,0.522965,0,0,0,0
Cell 974,0.002568,0.227849,0.04535,0.723587,0.000646,0,0,0,0
Cell 975,0,0,0.000006,0.001211,0.01511,0.132423,0.413978,0.313599,0.123674
Cell 976,0.000003,0.020066,0.270481,0.484925,0.211946,0.01248,0.000099,0,0
Cell 977,0,0.000053,0.003451,0.061342,0.209257,0.325809,0.306031,0.093115,0.000943
Cell 978,0,0,0.000011,0.001602,0.020326,0.125616,0.352559,0.369499,0.130387
Cell 979,0.000005,0.01455,0.292631,0.36776,0.325053,0,0,0,0
Cell 980,0.000063,0.007854,0.014978,0.97316,0.003944,0,0,0,0
Cell 981,0,0.012219,0.317869,0.282967,0.386945,0,0,0,0
Cell 982,0.001198,0.552621,0.421345,0.006186,0.018649,0,0,0,0
Cell 983,0.000101,0.068332,0.38034,0.362583,0.182714,0.005815,0.000115,0,0
Cell 984,0,0.00001,0.00192,0.039062,0.197003,0.450553,0.275989,0.029999,0.005465
Cell 985,0,0.000005,0.000393,0.018745,0.092597,0.220691,0.486758,0.12859,0.05222
Cell 986,0,0.000018,0.001347,0.036136,0.131926,0.437019,0.346365,0.039382,0.007806
Cell 987,0.00917,0.22849,0.531363,0.21386,0.017114,0.000003,0,0,0
Cell 988,0.006876,0.359002,0.502102,0.128163,0.003857,0,0,0,0
Cell 989,0.061068,0.7407,0.192186,0.005788,0.000258,0,0,0,0
Cell 990,0.000017,0.018827,0.02538,0.952942,0.002834,0,0,0,0
Cell 991,0,0.000003,0.001067,0.277241,0.606588,0.115101,0,0,0
Cell 992,0.000051,0.035359,0.440683,0.357079,0.160629,0.006147,0.000053,0,0
Cell 993,0,0.000672,0.028569,0.239857,0.443778,0.205707,0.077931,0.003473,0.000012
Cell 994,0,0.000015,0.000994,0.032488,0.086765,0.34468,0.393467,0.111372,0.03022
Cell 995,0.25103,0.599996,0.141789,0.006716,0.000469,0,0,0,0
Cell 996,0,0,0.000006,0.002332,0.021335,0.187439,0.456112,0.213125,0.119651
Cell 997,0.359359,0.636634,0.002958,0.000446,0.000073,0.00053,0,0,0
Cell 998,0,0,0.000102,0.006367,0.0612,0.290155,0.460203,0.143145,0.038827
Cell 999,0.000392,0.062121,0.362613,0.382883,0.145518,0.044354,0.002109,0.000008,0
Cell 1000,0,0,0,0.000248,0.001969,0.048081,0.381389,0.468412,0.099901
Cell 1001,0,0.000012,0.004185,0.33956,0.656243,0,0,0,0
Cell 1002,0,0,0.000003,0.001332,0.011533,0.25346,0.530032,0.142057,0.061583
Cell 1003,0,0.000003,0.000406,0.019627,0.079933,0.279096,0.374127,0.228589,0.01822
Cell 1004,0,0.00043,0.020601,0.147067,0.193239,0.364284,0.222068,0.051446,0.000865
Cell 1005,0,0,0.000006,0.002092,0.018298,0.253601,0.513735,0.138209,0.074059
Cell 1006,0,0,0.000063,0.003946,0.039274,0.205526,0.36968,0.289848,0.091662
Cell 1007,0.000156,0.049412,0.315234,0.464702,0.170496,0,0,0,0
Cell 1008,0.005092,0.360039,0.495544,0.134939,0.004386,0,0,0,0
Cell 1009,0,0.00007,0.008798,0.400487,0.57463,0.016015,0,0,0
Cell 1010,0.000161,0.056088,0.381489,0.395087,0.157367,0.00979,0.000019,0,0
Cell 1011,0.000734,0.102324,0.536632,0.214588,0.087493,0.058229,0,0,0
Cell 1012,0,0,0.928508,0.061462,0.006249,0.003782,0,0,0
Cell 1013,0,0.000024,0.005995,0.418812,0.548077,0.027092,0,0,0
Cell 1014,0,0,0.000027,0.003903,0.027174,0.164653,0.407197,0.31235,0.084697
Cell 1015,0,0,0.000008,0.001592,0.021602,0.194702,0.548459,0.201551,0.032085
Cell 1016,0,0.000345,0.007898,0.109944,0.257538,0.544291,0.079426,0.000437,0.000121
Cell 1017,0,0.000001,0.000428,0.203322,0.71324,0.083009,0,0,0
Cell 1018,0.039495,0.516996,0.395841,0.046614,0.001054,0,0,0,0
Cell 1019,0.36975,0.524953,0.102922,0.002296,0.000078,0,0,0,0
Cell 1020,0,0.00006,0.002517,0.048431,0.095969,0.51599,0.309979,0.018157,0.008896
Cell 1021,0.004329,0.328251,0.533142,0.128922,0.005356,0,0,0,0
