Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 255,0,0.000002,0.000011,0.011381,0.089231,0.29052,0.35394,0.125432,0.129482
Cell 256,0,0.000047,0.006918,0.092677,0.316564,0.323135,0.239825,0.020745,0.000088
Cell 257,0,0.000001,0.000096,0.009403,0.052366,0.294598,0.581349,0.050431,0.011757
Cell 258,0,0.000002,0.000177,0.013649,0.075499,0.463998,0.408982,0.027538,0.010155
Cell 259,0,0.000409,0.011522,0.106473,0.313155,0.387845,0.170542,0.00943,0.000623
Cell 260,0,0.000001,0.000078,0.005247,0.032928,0.202952,0.545642,0.177545,0.035608
Cell 261,0,0.000115,0.011199,0.129016,0.367416,0.347443,0.136337,0.008468,0.000006
Cell 262,0,0.000467,0.026583,0.161244,0.133827,0.355209,0.214893,0.082974,0.024803
Cell 263,0,0,0.000004,0.001456,0.014508,0.162724,0.47052,0.243098,0.10769
Cell 264,0,0.000898,0.030673,0.451991,0.516439,0,0,0,0
Cell 265,0,0.000305,0.020769,0.430222,0.548703,0,0,0,0
Cell 266,0,0,0.000001,0.000554,0.008087,0.124388,0.481288,0.272144,0.113538
Cell 267,0,0,0.000003,0.00092,0.007555,0.124818,0.592022,0.238523,0.036159
Cell 268,0,0.000028,0.004194,0.332881,0.640895,0.022002,0,0,0
Cell 269,0.000219,0.050644,0.342348,0.420259,0.172151,0.014301,0.000077,0,0
Cell 270,0,0.000867,0.022798,0.13047,0.335552,0.455922,0.053956,0.000434,0.000001
Cell 271,0,0,0.000016,0.00382,0.029724,0.288423,0.453031,0.165628,0.059358
Cell 272,0,0.001163,0.061915,0.487688,0.446061,0.003173,0,0,0
Cell 273,0,0,0.000025,0.005186,0.035725,0.331667,0.489544,0.098037,0.039815
Cell 274,0,0.000116,0.00706,0.43413,0.558694,0,0,0,0
Cell 275,0,0,0.000144,0.006308,0.072575,0.310027,0.286956,0.257336,0.066655
Cell 276,0,0,0,0.00027,0.003625,0.121665,0.645671,0.180443,0.048325
Cell 277,0,0.000012,0.001803,0.281063,0.717122,0,0,0,0
Cell 278,0,0,0.000033,0.005226,0.046199,0.442704,0.411784,0.063844,0.03021
Cell 279,0.000025,0.013995,0.15677,0.384575,0.351273,0.091755,0.001606,0.000001,0
Cell 280,0,0,0.000013,0.002403,0.024588,0.387081,0.472137,0.059532,0.054246
Cell 281,0.00573,0.15394,0.421203,0.283856,0.122898,0.012229,0.000144,0,0
Cell 282,0,0.000064,0.006252,0.09394,0.322015,0.251054,0.237477,0.089108,0.00009
Cell 283,0.000471,0.092545,0.505538,0.335908,0.063522,0.002014,0.000001,0,0
Cell 284,0,0,0,0.000311,0.004959,0.141188,0.654417,0.168851,0.030273
Cell 285,0,0.000003,0.00034,0.017646,0.078262,0.461312,0.385664,0.04217,0.014603
Cell 286,0,0,0.000101,0.007008,0.049493,0.392977,0.431866,0.065647,0.052907
Cell 287,0,0,0.000083,0.006258,0.048251,0.442909,0.434874,0.048798,0.018827
Cell 288,0.002784,0.291485,0.563157,0.13332,0.009253,0,0,0,0
Cell 289,0,0,0.000014,0.002351,0.019613,0.140781,0.396574,0.329119,0.111547
Cell 290,0.001828,0.1673,0.593486,0.228371,0.009014,0.000002,0,0,0
Cell 291,0.027602,0.343177,0.517783,0.099977,0.01146,0,0,0,0
Cell 292,0,0,0,0.000119,0.001739,0.048305,0.417254,0.453455,0.079128
Cell 293,0.034769,0.374457,0.499204,0.088003,0.003567,0,0,0,0
Cell 294,0.000209,0.064625,0.368389,0.394985,0.160281,0.011478,0.000033,0,0
Cell 295,0.026343,0.39837,0.467302,0.102748,0.005238,0,0,0,0
Cell 296,0.008849,0.238021,0.445063,0.250471,0.056864,0.000723,0.000008,0,0
Cell 297,0,0,0.000011,0.002601,0.025319,0.35522,0.499991,0.068075,0.048783
Cell 298,0,0.003111,0.112964,0.334508,0.495305,0.050068,0.004027,0.000017,0
Cell 299,0.00384,0.233805,0.437722,0.265153,0.057767,0.001711,0.000001,0,0
Cell 300,0,0.000001,0.001371,0.288196,0.68874,0.021691,0,0,0
Cell 301,0,0,0.000007,0.001688,0.021577,0.209015,0.486756,0.209203,0.071753
Cell 302,0.000017,0.015627,0.256064,0.440744,0.262806,0.024668,0.000075,0,0
Cell 303,0.00838,0.157028,0.280144,0.126508,0.235262,0.190981,0.001695,0.000001,0
Cell 304,0,0.000206,0.008624,0.091431,0.222586,0.420461,0.233089,0.023492,0.000111
Cell 305,0,0,0.000007,0.001906,0.015364,0.200414,0.480108,0.194397,0.107805
Cell 306,0.014786,0.263744,0.51604,0.186242,0.019188,0,0,0,0
Cell 307,0,0.000014,0.001106,0.025242,0.119912,0.513756,0.30278,0.03212,0.00507
Cell 308,0,0,0.000003,0.000989,0.007678,0.153382,0.678956,0.132573,0.026419
Cell 309,0,0.000015,0.000681,0.013823,0.087225,0.690156,0.189921,0.009833,0.008345
Cell 310,0.000161,0.055931,0.404657,0.366783,0.16197,0.010401,0.000097,0,0
Cell 311,0.059375,0.491484,0.400358,0.04731,0.001473,0,0,0,0
Cell 312,0,0,0.000142,0.009823,0.08105,0.416737,0.44443,0.035663,0.012154
Cell 313,0,0,0.000068,0.005468,0.043091,0.375506,0.420583,0.110334,0.044952
Cell 314,0,0,0.000058,0.005411,0.042248,0.482949,0.417395,0.031795,0.020145
Cell 315,0,0.000023,0.008057,0.378223,0.613697,0,0,0,0
Cell 316,0,0,0.000026,0.004031,0.039371,0.468734,0.425107,0.044613,0.018119
Cell 317,0,0.000019,0.002346,0.330964,0.66667,0,0,0,0
Cell 318,0,0.000372,0.016307,0.134889,0.360583,0.318708,0.147896,0.021168,0.000077
Cell 319,0.000127,0.032143,0.343644,0.473899,0.149909,0.000279,0,0,0
Cell 320,0,0.000001,0.000131,0.008488,0.059358,0.464538,0.407445,0.040187,0.019852
Cell 321,0,0,0,0.000103,0.001735,0.083766,0.573314,0.268737,0.072346
Cell 322,0,0,0.000016,0.002854,0.030298,0.300527,0.479319,0.128399,0.058588
Cell 323,0.000007,0.004119,0.071408,0.264493,0.381782,0.254805,0.023269,0.000117,0
Cell 324,0,0,0.000022,0.003262,0.021934,0.189737,0.445931,0.229933,0.109182
Cell 325,0,0,0.00011,0.009049,0.059997,0.162916,0.238678,0.473774,0.055476
Cell 326,0,0.001882,0.039869,0.224128,0.321472,0.295879,0.110245,0.006513,0.000012
Cell 327,0.000005,0.006387,0.15719,0.370022,0.409409,0.055278,0.001709,0,0
Cell 328,0.012841,0.228328,0.557289,0.178172,0.023355,0.000014,0,0,0
Cell 329,0.000314,0.053845,0.539883,0.348745,0.057028,0.000185,0,0,0
Cell 330,0,0.000015,0.005137,0.386058,0.580793,0.027997,0,0,0
Cell 331,0,0.000021,0.007599,0.260782,0.565228,0.16637,0,0,0
Cell 332,0,0,0.000002,0.00061,0.004846,0.121424,0.654615,0.190264,0.028238
