Gene Symbol,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 1(s.e.m),Layer 2(s.e.m),Layer 3(s.e.m),Layer 4(s.e.m),Layer 5(s.e.m),Layer 6(s.e.m),Layer 7(s.e.m),Layer 8(s.e.m),Layer 9(s.e.m),p-values,q-values
Rad9b,2.46667E-09,1.56209E-07,2.97845E-07,2.8266E-07,2.21675E-07,5.25811E-07,5.21074E-07,2.18418E-07,3.26824E-07,2.54487E-09,1.56059E-07,2.68398E-07,1.87273E-07,1.28854E-07,3.91445E-07,4.12435E-07,1.848E-07,2.7175E-07,0.94760266,0.45722248
Radil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Rae1,2.65949E-05,3.17853E-05,3.13432E-05,2.38469E-05,2.3739E-05,2.4311E-05,2.68324E-05,2.90414E-05,2.57115E-05,6.27335E-06,3.50422E-06,3.16688E-06,2.56256E-06,3.12948E-06,3.60134E-06,3.39833E-06,5.07994E-06,4.6286E-06,0.045943855,0.10042652
Raf1,1.5647E-06,7.75294E-06,6.23045E-06,1.17266E-05,7.96675E-06,6.66687E-06,6.8083E-06,6.70501E-06,6.11106E-06,7.7784E-07,2.35525E-06,1.13979E-06,3.53996E-06,1.3155E-06,1.53663E-06,1.65353E-06,2.31489E-06,2.28963E-06,0.040009231,0.090958794
Rag1;B230118H07Rik,2.57267E-05,1.54471E-05,1.4204E-05,1.48523E-05,1.46944E-05,1.26833E-05,1.17822E-05,1.24745E-05,1.41328E-05,6.70677E-06,2.97104E-06,1.91268E-06,1.73654E-06,2.28068E-06,2.03747E-06,1.85985E-06,2.63138E-06,3.44913E-06,0.002939239,0.013500167
Rag2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Ragd;Rragd;AK081204;Rragc,4.13542E-05,4.26449E-05,4.19525E-05,3.80643E-05,3.58524E-05,3.77319E-05,4.27921E-05,4.75513E-05,4.90199E-05,8.30468E-06,4.39011E-06,3.58504E-06,2.90024E-06,3.09979E-06,3.30979E-06,3.78833E-06,5.82318E-06,6.55402E-06,0.1914388,0.23409648
Rage;Stk30;MOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Rai14;mKIAA1334,1.41655E-05,1.44373E-05,1.03434E-05,1.04313E-05,9.13262E-06,1.43449E-05,1.51711E-05,1.42302E-05,1.41564E-05,5.86621E-06,2.9066E-06,1.81849E-06,2.25196E-06,1.32397E-06,2.37626E-06,2.3904E-06,2.52892E-06,2.7074E-06,0.25651177,0.2747697
Rai1;mKIAA1820,1.5513E-06,4.41038E-08,6.62158E-08,3.21673E-07,3.00999E-07,4.66122E-07,8.10643E-07,6.76198E-07,8.06446E-07,1.51542E-06,3.86217E-08,5.46119E-08,2.0665E-07,1.65008E-07,2.33701E-07,3.88694E-07,3.59608E-07,4.26827E-07,0.3888824,0.34028027
Rai2,2.54686E-06,8.34832E-07,6.98324E-07,1.4978E-06,2.2296E-06,1.85333E-06,1.27358E-06,1.16528E-06,1.38998E-06,1.83012E-06,4.11763E-07,2.9354E-07,5.12416E-07,8.00342E-07,6.00215E-07,4.08829E-07,5.65212E-07,6.47769E-07,0.66385462,0.42876323
Rala,6.89986E-05,4.15405E-05,3.51745E-05,3.61782E-05,3.43041E-05,3.86965E-05,3.91107E-05,2.97042E-05,2.85764E-05,2.05993E-05,6.74164E-06,3.67662E-06,3.51694E-06,3.11653E-06,3.86108E-06,3.67904E-06,3.05432E-06,3.0803E-06,0.13556128,0.19175017
Ralb,6.45781E-06,7.20053E-06,6.32661E-06,6.07489E-06,6.6368E-06,6.67656E-06,4.77689E-06,4.38345E-06,5.69155E-06,3.80129E-06,2.11042E-06,1.45704E-06,1.02982E-06,1.20441E-06,2.22292E-06,1.11979E-06,1.21392E-06,2.32493E-06,0.7278713,0.44375972
Ralbp1,6.17545E-05,5.66266E-05,5.19811E-05,4.57542E-05,4.25007E-05,4.32375E-05,3.59202E-05,3.23769E-05,3.35638E-05,1.74544E-05,4.97467E-06,3.8294E-06,3.48704E-06,3.57315E-06,5.251E-06,3.28458E-06,4.153E-06,4.37242E-06,0.0003043,0.002007905
Ralgapa1,1.07837E-06,2.00341E-06,2.23637E-06,1.94427E-06,1.67135E-06,1.69284E-06,2.41198E-06,2.15437E-06,1.92477E-06,9.42374E-07,6.13844E-07,6.04564E-07,5.25488E-07,5.71298E-07,4.91135E-07,7.38329E-07,7.78528E-07,6.42848E-07,0.5138075,0.38091629
Ralgapa2;mKIAA1272,1.66487E-05,1.37705E-05,1.70731E-05,2.08622E-05,1.65673E-05,1.70123E-05,1.87849E-05,1.77482E-05,1.51978E-05,5.5456E-06,2.66054E-06,2.01316E-06,3.20564E-06,2.06688E-06,2.12508E-06,1.98741E-06,2.31256E-06,2.00009E-06,0.021424811,0.059517998
Ralgds;mKIAA1308,4.47441E-11,1.00864E-08,9.05945E-08,4.55979E-07,6.77629E-07,6.8865E-07,2.40704E-07,1.46979E-07,1.49301E-07,4.5201E-11,1.00441E-08,8.80977E-08,4.23156E-07,5.48403E-07,4.8269E-07,1.43778E-07,1.1047E-07,1.45177E-07,0.90800874,0.45450752
Ralgps1;mKIAA0351,3.04341E-09,2.39613E-07,6.24457E-07,6.90614E-07,5.35805E-07,3.92307E-07,3.12385E-07,3.0373E-07,3.40574E-07,2.77607E-09,1.61136E-07,3.93432E-07,3.84817E-07,3.43526E-07,2.59812E-07,2.12646E-07,2.23163E-07,2.4584E-07,0.95360058,0.45866078
